MonNode,TimeSlot,UNITT,UNITS,COUNTER,FltMet1,FltMet2,Rat1,Rat2,Method,Year(4 digit),Year(2 digit),Month,Day of the Year,Day of the Month,Day of the Week,Time Hour,Time Minute,Time Seconds
\IRFORE,2020-05-29 00:00:00,0,16,93740365,51,12,132.96,565.08,LIN_CNT2,2020,20,5,149,29,5,0,0,0
\IRFORE,2020-05-30 00:00:00,0,16,100708072,77,9,94.61,809.45,LIN_CNT2,2020,20,5,150,30,6,0,0,0
\IRFORE,2020-05-31 00:00:00,0,16,68984555,46,7,108.48,712.89,LIN_CNT2,2020,20,5,151,31,7,0,0,0
\IRFORE,2020-06-01 00:00:00,0,16,97091120,54,11,130.06,638.49,LIN_CNT2,2020,20,6,152,1,1,0,0,0
\IRFORE,2020-06-02 00:00:00,0,16,91209336,59,11,111.83,599.81,LIN_CNT2,2020,20,6,153,2,2,0,0,0
\IRFORE,2020-06-03 00:00:00,0,16,91489546,55,11,120.33,601.65,LIN_CNT2,2020,20,6,154,3,3,0,0,0
\IRFORE,2020-06-04 00:00:00,0,16,95191158,99,10,69.55,688.59,LIN_CNT2,2020,20,6,155,4,4,0,0,0
\IRFORE,2020-06-05 00:00:00,0,16,99177248,64,12,112.10,597.86,LIN_CNT2,2020,20,6,156,5,5,0,0,0
\IRFORE,2020-06-06 00:00:00,0,16,104432267,59,12,128.04,629.53,LIN_CNT2,2020,20,6,157,6,6,0,0,0
\IRFORE,2020-06-07 00:00:00,0,16,70627228,49,9,104.27,567.67,LIN_CNT2,2020,20,6,158,7,7,0,0,0
\IRFORE,2020-06-08 00:00:00,0,16,96046917,50,11,138.96,631.62,LIN_CNT2,2020,20,6,159,8,1,0,0,0
\IRFORE,2020-06-09 00:00:00,0,16,86146405,61,10,102.16,623.17,LIN_CNT2,2020,20,6,160,9,2,0,0,0
\IRFORE,2020-06-10 00:00:00,0,16,88043044,52,11,122.48,578.99,LIN_CNT2,2020,20,6,161,10,3,0,0,0
\IRFORE,2020-06-11 00:00:00,0,16,89183754,55,11,117.30,586.49,LIN_CNT2,2020,20,6,162,11,4,0,0,0
\IRFORE,2020-06-12 00:00:00,0,16,97641288,60,12,117.72,588.60,LIN_CNT2,2020,20,6,163,12,5,0,0,0
\IRFORE,2020-06-13 00:00:00,0,16,101631579,58,12,126.76,612.65,LIN_CNT2,2020,20,6,164,13,6,0,0,0
\IRFORE,2020-06-14 00:00:00,0,16,69683108,55,10,91.65,504.07,LIN_CNT2,2020,20,6,165,14,7,0,0,0
\IRFORE,2020-06-15 00:00:00,0,16,95956515,50,11,138.83,631.03,LIN_CNT2,2020,20,6,166,15,1,0,0,0
\IRFORE,2020-06-16 00:00:00,0,16,86352878,60,10,104.11,624.66,LIN_CNT2,2020,20,6,167,16,2,0,0,0
\IRFORE,2020-06-17 00:00:00,0,16,88150066,53,11,120.31,579.69,LIN_CNT2,2020,20,6,168,17,3,0,0,0
\IRFORE,2020-06-18 00:00:00,0,16,90088076,53,11,122.96,592.44,LIN_CNT2,2020,20,6,169,18,4,0,0,0
\IRFORE,2020-06-19 00:00:00,0,16,96147491,65,13,107.00,535.01,LIN_CNT2,2020,20,6,170,19,5,0,0,0
\IRFORE,2020-06-20 00:00:00,0,16,104134817,57,12,132.16,627.74,LIN_CNT2,2020,20,6,171,20,6,0,0,0
\IRFORE,2020-06-21 00:00:00,0,16,73765736,48,9,111.17,592.90,LIN_CNT2,2020,20,6,172,21,7,0,0,0
\IRFORE,2020-06-22 00:00:00,0,16,93835401,49,10,138.53,678.79,LIN_CNT2,2020,20,6,173,22,1,0,0,0
\IRFORE,2020-06-23 00:00:00,0,16,83223775,58,10,103.80,602.02,LIN_CNT2,2020,20,6,174,23,2,0,0,0
\IRFORE,2020-06-24 00:00:00,0,16,85860183,51,10,121.78,621.10,LIN_CNT2,2020,20,6,175,24,3,0,0,0
\IRFORE,2020-06-25 00:00:00,0,16,88432619,58,11,110.29,581.55,LIN_CNT2,2020,20,6,176,25,4,0,0,0
\IRFORE,2020-06-26 00:00:00,0,16,94571353,58,12,117.95,570.09,LIN_CNT2,2020,20,6,177,26,5,0,0,0
\IRFORE,2020-06-27 00:00:00,0,16,99586631,55,10,130.98,720.39,LIN_CNT2,2020,20,6,178,27,6,0,0,0
\IRFORE,2020-06-28 00:00:00,0,16,69098545,65,10,76.90,499.84,LIN_CNT2,2020,20,6,179,28,7,0,0,0
\IRFORE,2020-06-29 00:00:00,0,16,94851679,43,10,159.57,686.14,LIN_CNT2,2020,20,6,180,29,1,0,0,0
\IRFORE,2020-06-30 00:00:00,0,16,88530693,45,11,142.31,582.19,LIN_CNT2,2020,20,6,181,30,2,0,0,0
