2021-201-03 21:00:12 | 152 samples examined | Samples examined from 2017-10-1 00:00:00 to 2020-12-23 00:00:00 | 20 forecasts made |  Linear Regression: -0.0003179057210317651 * (x) + 9.746328675488358e-11 
2021-03-06 11:29:41 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:29:54 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 11:29:54 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:29:54 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:31:12 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 11:31:12 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:31:12 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:31:58 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 11:31:58 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:31:58 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:32:29 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 11:32:29 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:32:29 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:39:39 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 11:39:39 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:39:39 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:42:45 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 11:42:45 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:42:45 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:45:25 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 11:45:25 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:45:25 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:45:42 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 11:45:42 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 11:45:43 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:00:15 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 13:00:15 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:00:15 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:01:37 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 13:01:37 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:01:37 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:05:37 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 13:05:37 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:05:37 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:06:28 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 13:06:28 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:06:28 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:06:44 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 13:06:44 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:06:44 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:06:52 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 13:06:52 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:06:52 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:07:01 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 13:07:01 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:07:01 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:07:21 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 

2021-03-06 13:07:21 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:07:21 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 

2021-03-06 13:10:15 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:10:15 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:10:15 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:10:38 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:10:38 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:10:38 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:11:15 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:11:15 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:11:15 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:11:36 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:11:36 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:11:36 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:14:14 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:14:14 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:14:14 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:14:29 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:14:29 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:14:29 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 5 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:14:51 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:14:51 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:14:51 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:15:34 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:15:34 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:15:34 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:16:36 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:16:37 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:16:37 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:17:08 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:17:08 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:17:08 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + 0.00 | R2 score NaN 

2021-03-06 13:17:24 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:17:24 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:17:24 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + 0.00 | R2 score NaN 

2021-03-06 13:21:50 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:21:51 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:21:51 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + 0.00 | R2 score NaN 

2021-03-06 13:22:20 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:22:20 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score NaN 

2021-03-06 13:22:20 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + 0.00 | R2 score NaN 

2021-03-06 13:23:49 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score -Infinity 

2021-03-06 13:23:49 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + -0.00 | R2 score -Infinity 

2021-03-06 13:23:49 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: -0.00 * (x) + 0.00 | R2 score -Infinity 

2021-03-06 13:32:39 | 3 samples examined | Samples examined from 2020-12-20 to 2020-12-22 | 10 forecasts made |  Linear Regression: 0.00 * (x) + -0.00 | R2 score -Infinity 

