MonNode,TimeSlot,UNITT,UNITS,COUNTER,FltMet1,FltMet2,Rat1,Rat2
\NSBLDE4,2017-9-2 00:00:00,NSE-AB,4,974580,0,0.00,NULL,0
\NSBLDE4,2017-9-20 00:00:00,NSE-AB,4,1106580,0,0.00,NULL,0
\NSBLDE4,2017-9-21 00:00:00,NSE-AB,4,1109610,0,0.00,NULL,0
\NSBLDE4,2017-9-22 00:00:00,NSE-AB,4,1121060,0,0.00,NULL,0
\NSBLDE4,2017-9-23 00:00:00,NSE-AB,4,1121790,0,0.00,NULL,0
\NSBLDE4,2017-9-24 00:00:00,NSE-AB,4,1121490,0,0.00,NULL,0
\NSBLDE4,2017-9-25 00:00:00,NSE-AB,4,1125980,0,0.00,NULL,0
\NSBLDE4,2017-9-26 00:00:00,NSE-AB,4,1122600,0,0.00,NULL,0
\NSBLDE4,2017-9-27 00:00:00,NSE-AB,4,1115990,0,0.00,NULL,0
\NSBLDE4,2017-9-28 00:00:00,NSE-AB,4,1113450,12,3.00,0.27,0
\NSBLDE4,2017-9-29 00:00:00,NSE-AB,4,1117690,14,3.50,0.23,0
\NSBLDE4,2017-9-3 00:00:00,NSE-AB,4,973650,0,0.00,NULL,0
\NSBLDE4,2017-9-30 00:00:00,NSE-AB,4,1119780,14,3.50,0.23,0
\NSBLDE4,2017-9-4 00:00:00,NSE-AB,4,979000,0,0.00,NULL,0
\NSBLDE4,2017-9-5 00:00:00,NSE-AB,4,973510,0,0.00,NULL,0
\NSBLDE4,2017-9-6 00:00:00,NSE-AB,4,977490,0,0.00,NULL,0
\NSBLDE4,2017-9-7 00:00:00,NSE-AB,4,978940,0,0.00,NULL,0
\NSBLDE4,2017-9-8 00:00:00,NSE-AB,4,977300,0,0.00,NULL,0
\NSBLDE4,2017-9-9 00:00:00,NSE-AB,4,976270,0,0.00,NULL,0
\NSBLDE4,2019-10-14 00:00:00,NSE-AB,4,1161800,6,5.25,0.56,0
\NSBLDE4,2019-10-15 00:00:00,NSE-AB,4,1161280,4,2.75,0.84,0
\NSBLDE4,2019-10-16 00:00:00,NSE-AB,4,1160220,4,3.50,0.84,0
\NSBLDE4,2019-10-17 00:00:00,NSE-AB,4,1156780,1,0.25,3.35,0
\NSBLDE4,2019-10-18 00:00:00,NSE-AB,4,1157110,0,0.00,NULL,0
\CGNAC2,2020-12-14 00:00:00,NSX-D,4,2544440,50,9.66,0.15,0
\IRFORE,2020-12-14 00:00:00,NSE-Q,2,571550,99,58.95,0.03,0
\NSKIT06,2020-12-14 00:00:00,NSE-A,4,861280,17,5.11,0.15,0
\CGNAC2,2020-12-15 00:00:00,NSX-D,4,2548480,52,25.05,0.14,0
\IRFORE,2020-12-15 00:00:00,NSE-Q,2,584680,100,58.84,0.03,0
\NSKIT06,2020-12-15 00:00:00,NSE-A,4,892170,52,5.80,0.05,0
\CGNAC2,2020-12-16 00:00:00,NSX-D,4,2552590,72,25.15,0.10,0
\IRFORE,2020-12-16 00:00:00,NSE-Q,2,588500,99,51.44,0.03,0
\NSKIT06,2020-12-16 00:00:00,NSE-A,4,874300,32,6.64,0.08,0
\CGNAC2,2020-12-17 00:00:00,NSX-D,4,2551280,61,25.17,0.12,0
\IRFORE,2020-12-17 00:00:00,NSE-Q,2,583800,99,51.55,0.03,0
